130.0
5.189,up
6.067,up
6.981,up
7.948,up
8.875,up
9.323,up
9.739,up
10.699,up
11.626,up
12.565,up
13.020,up
13.442,up
14.467,up
15.378,up
16.289,up
16.731,up
17.194,up
17.688,up
18.148,up
19.056,up
20.000,up
20.408,up
20.880,up
21.351,up
21.839,up
22.798,up
23.680,up
24.150,up
24.605,up
25.558,up
26.502,up
27.414,up
27.880,up
28.356,up
29.276,up
30.196,up
31.164,up
33.015,up
34.812,up
35.817,up
36.714,up
37.656,up
38.615,up
39.079,up
39.536,up
40.470,up
41.390,up
42.312,up
42.774,up
43.205,up
44.174,up
45.084,up
46.028,up
46.501,up
46.932,up
47.397,up
47.893,up
48.795,up
49.770,up
50.260,up
50.693,up
51.146,up
51.619,up
52.521,up
53.493,up
53.953,up
54.400,up
55.345,up
56.264,up
57.183,up
57.655,up
58.095,up
59.025,up
60.886,up
61.829,up
62.775,up
63.716,up
64.684,up
68.330,up
69.275,up
70.233,up
71.168,up
72.064,up
72.545,up
72.984,up
73.943,up
74.831,up
75.799,up
76.273,up
76.719,up
77.645,up
78.598,up
79.526,up
79.973,up
80.460,up
80.917,up
81.395,up
82.308,up
83.224,up
83.715,up
84.162,up
84.595,up
85.059,up
85.993,up
86.961,up
87.433,up
87.849,up
88.793,up
89.664,up
90.640,up
91.176,up
91.639,up
92.479,up
